Date,Open,High,Low,Close,Adj Close,Volume
2003-09-23,13.822100,13.822100,13.822100,13.822100,8.087466,538637
2003-09-24,14.746700,14.746700,14.746700,14.746700,8.628460,107033463
2003-09-25,15.763700,15.763700,15.763700,15.763700,9.223518,720346
2003-09-26,16.826900,16.826900,16.410900,16.826900,9.845610,9413452
2003-09-29,16.826900,17.196699,16.595800,16.642000,9.737420,5019714914
2003-09-30,16.780701,16.873100,16.179701,16.272200,9.521046,2311166017
2003-10-01,16.179701,16.272200,15.162700,15.162700,8.871866,3159143387
2003-10-02,15.301400,16.179701,15.301400,16.179701,9.466924,2681202
2003-10-03,16.688200,17.289200,16.549500,17.289200,10.116107,5894418505
2003-10-06,18.213800,18.444901,17.890200,18.260000,10.684132,9296028617
2003-10-07,18.260000,18.444901,17.843901,18.075100,10.575945,3917661
2003-10-08,18.260000,19.323200,18.260000,19.092100,11.171002,9371596777
2003-10-09,18.306200,18.953400,17.843901,18.814699,11.008693,3779116195
2003-10-10,null,null,null,null,null,null
2003-10-13,18.953400,19.092100,18.075100,18.075100,10.575945,1815791075
2003-10-14,18.444901,18.722200,18.075100,18.075100,10.575945,2105662
2003-10-15,18.121300,18.676001,18.075100,18.213800,10.657099,1495862190
2003-10-16,18.352400,18.814699,18.028799,18.260000,10.684132,2822474643
2003-10-17,18.260000,18.444901,17.890200,18.213800,10.657099,2523010350
2003-10-20,18.213800,18.491100,17.797701,18.352400,10.738195,2144598
2003-10-21,18.352400,18.444901,17.936399,18.028799,10.548852,1227638696
2003-10-22,18.260000,18.352400,17.890200,18.260000,10.684132,1473138270
2003-10-23,18.028799,18.398600,17.982599,18.398600,10.765227,2135432186
2003-10-24,18.398600,18.398600,18.121300,18.306200,10.711164,478931019
2003-10-27,18.306200,18.444901,18.121300,18.167500,10.630008,629489750
2003-10-28,18.075100,18.306200,18.075100,18.075100,10.575945,390501
2003-10-29,18.075100,18.167500,17.797701,17.797701,10.413634,885398
2003-10-30,17.797701,18.028799,17.566601,17.566601,10.278417,1149523432
2003-10-31,17.566601,18.028799,17.104300,17.104300,10.007917,1476350723
2003-11-03,17.150499,17.289200,16.734400,16.919399,9.899732,1812762307
2003-11-04,17.104300,17.427900,17.104300,17.427900,10.197260,921522951
2003-11-05,17.751499,18.121300,17.566601,17.936399,10.494790,1685135674
2003-11-06,18.213800,18.213800,17.612801,17.936399,10.494790,1389743072
2003-11-07,18.167500,18.213800,17.797701,18.075100,10.575945,1176782
2003-11-10,18.213800,18.676001,18.167500,18.491100,10.819351,1905778536
2003-11-11,18.352400,18.722200,18.352400,18.398600,10.765227,1706767687
2003-11-12,18.444901,18.491100,18.260000,18.306200,10.711164,964790
2003-11-13,18.306200,18.444901,18.121300,18.398600,10.765227,876205730
2003-11-14,18.398600,19.646799,18.398600,19.646799,11.495564,6567588636
2003-11-17,19.646799,19.646799,18.953400,18.953400,11.089849,1927477900
2003-11-18,18.953400,19.600599,18.768499,18.768499,10.981660,2965747188
2003-11-19,17.797701,19.508101,17.797701,19.508101,11.414409,1784987039
2003-11-20,19.277000,20.155300,19.277000,19.600599,11.468532,4614280491
2003-11-21,18.953400,19.508101,18.953400,19.415701,11.360345,813864957
2003-11-24,19.277000,19.646799,19.184500,19.415701,11.360345,1476255
2003-11-25,19.646799,19.646799,19.092100,19.092100,11.171002,802817303
2003-11-26,19.092100,19.508101,19.092100,19.184500,11.225066,615323527
2003-11-27,19.369400,19.369400,19.045900,19.230700,11.252099,731161642
2003-11-28,19.230700,19.369400,19.092100,19.323200,11.306223,837266473
2003-12-01,19.323200,20.016600,19.045900,19.970400,11.684904,2018940967
2003-12-02,19.970400,20.294001,19.739300,19.970400,11.684904,920463698
2003-12-03,19.924200,20.571400,19.878000,20.432699,11.955403,2375194653
2003-12-04,20.571400,20.756300,19.970400,20.756300,12.144743,2213847469
2003-12-05,20.756300,20.802500,20.340200,20.709999,12.117652,1548855419
2003-12-08,20.571400,20.571400,20.062901,20.340200,11.901281,633818602
2003-12-09,20.294001,20.386400,19.878000,20.062901,11.739030,925904
2003-12-10,19.924200,20.432699,19.739300,19.970400,11.684904,1289614138
2003-12-11,19.970400,20.109100,19.739300,19.878000,11.630841,575410738
2003-12-12,20.062901,20.663799,19.970400,20.525101,12.009468,1573079437
2003-12-15,20.756300,21.218500,20.525101,20.663799,12.090621,1592115363
2003-12-16,20.617599,21.172300,19.970400,21.033600,12.306996,2150287
2003-12-17,21.033600,21.033600,20.294001,20.432699,11.955403,858790316
2003-12-18,20.109100,20.294001,19.878000,20.247801,11.847218,867714
2003-12-19,19.924200,20.109100,19.739300,19.785500,11.576718,1171426892
2003-12-22,18.629801,19.785500,18.629801,19.369400,11.333252,1626868635
2003-12-23,19.415701,19.970400,19.415701,19.831699,11.603750,1356414
2003-12-24,20.109100,20.109100,19.508101,19.785500,11.576718,538636927
