No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
531,BPYU,Brookfield Property REIT Inc.,Real Estate,REIT - Retail,USA,655.65M,2.62,13.90,-1.91%,"203,669"
533,BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,USA,868.75M,19.90,22.39,0.36%,"72,784"
535,BRF,VanEck Vectors Brazil Small-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,17.08,-3.45%,"2,206"
537,BRG,"Bluerock Residential Growth REIT, Inc.",Real Estate,REIT - Residential,USA,220.62M,157.14,8.62,-2.08%,"37,082"
539,BRKL,"Brookline Bancorp, Inc.",Financial,Banks - Regional,USA,753.73M,15.99,9.20,-2.65%,"135,177"
522,BOTZ,Global X Robotics & Artificial Intelligence ETF,Financial,Exchange Traded Fund,USA,-,-,29.23,-0.14%,"244,727"
524,BP,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,57.42B,-,16.74,-2.89%,"6,241,452"
526,BPMC,Blueprint Medicines Corporation,Healthcare,Biotechnology,USA,5.58B,-,100.16,-0.71%,"43,857"
528,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,3.41B,7.61,39.20,-2.90%,"82,371"
530,BPY,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,Bermuda,13.21B,-,13.33,-1.91%,"470,482"
532,BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,USA,16.27B,36.01,142.89,0.17%,"45,526"
534,BRC,Brady Corporation,Industrials,Security & Protection Services,USA,2.20B,20.00,41.15,-1.60%,"17,911"
536,BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,Brazil,2.62B,10.46,3.15,-1.25%,"454,998"
538,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,525.88B,-,213.69,-1.26%,"1,087,821"
540,BRKR,Bruker Corporation,Healthcare,Medical Devices,USA,6.57B,41.04,43.76,0.69%,"145,658"
541,BRKS,"Brooks Automation, Inc.",Technology,Semiconductor Equipment & Materials,USA,3.80B,83.71,52.78,-0.09%,"51,706"
543,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,13.52B,31.15,47.78,-1.10%,"88,022"
545,BRY,Berry Corporation,Energy,Oil & Gas E&P,USA,295.94M,-,3.37,-1.75%,"31,332"
547,BSAC,Banco Santander-Chile,Financial,Banks - Regional,Chile,6.38B,10.66,13.53,-1.46%,"82,835"
549,BSET,"Bassett Furniture Industries, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,162.39M,-,16.54,2.67%,"15,942"
551,BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,USA,1.36B,8.54,6.41,-1.31%,"108,541"
553,BSQR,BSQUARE Corporation,Technology,Software - Application,USA,18.43M,-,1.36,0.01%,"5,141"
555,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,Financial,Exchange Traded Fund,USA,-,-,82.93,0.02%,"454,654"
557,BTAI,"BioXcel Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.13B,-,51.03,0.22%,"93,089"
559,BTG,B2Gold Corp.,Basic Materials,Gold,Canada,7.17B,16.45,6.79,-1.02%,"2,121,489"
542,BRMK,Broadmark Realty Capital Inc.,Real Estate,REIT - Mortgage,USA,1.37B,11.62,10.24,-1.06%,"67,849"
544,BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,USA,3.72B,17.30,11.77,-4.31%,"679,807"
546,BRZU,Direxion Daily MSCI Brazil Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,70.83,-4.24%,"110,749"
548,BSBR,Banco Santander (Brasil) S.A.,Financial,Banks - Regional,Brazil,20.83B,7.77,5.54,-2.46%,"295,783"
550,BSGM,"BioSig Technologies, Inc.",Healthcare,Medical Devices,USA,159.74M,-,5.94,8.39%,"166,949"
552,BSMX,Banco Santander Mexico SA ADR,Financial,Banks - Regional,Mexico,5.20B,19.64,3.81,-0.52%,"311,188"
554,BSRR,Sierra Bancorp,Financial,Banks - Regional,USA,272.98M,7.91,17.60,-0.45%,"4,038"
556,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,59.10B,-,40.88,-2.59%,"1,935,228"
558,BTE,Baytex Energy Corp.,Energy,Oil & Gas E&P,Canada,206.85M,-,0.36,-1.40%,"290,641"
560,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,United Kingdom,81.76B,10.07,35.09,-1.38%,"427,381"
561,BTN,"Ballantyne Strong, Inc",Consumer Cyclical,Leisure,USA,23.10M,-,1.58,1.28%,"4,401"
563,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,Belgium,101.01B,-,57.87,-3.50%,"559,258"
565,BUSE,First Busey Corporation,Financial,Banks - Regional,USA,973.85M,10.33,17.16,-3.05%,"14,404"
567,BVN,Compania de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining,Peru,3.08B,-,12.26,-2.54%,"82,814"
569,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,USA,8.27B,18.30,39.36,-0.15%,"438,442"
571,BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense,USA,5.62B,20.41,58.38,-0.73%,"130,573"
573,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,262.44M,-,26.55,-0.15%,"21,847"
575,BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,USA,13.09B,12.68,80.09,-3.16%,"220,964"
577,BXS,BancorpSouth Bank,Financial,Banks - Regional,USA,2.41B,11.14,21.94,-3.26%,"29,116"
579,BYND,"Beyond Meat, Inc.",Consumer Defensive,Packaged Foods,USA,11.91B,-,185.55,-3.51%,"2,842,070"
562,BTU,Peabody Energy Corporation,Energy,Thermal Coal,USA,189.64M,-,1.82,-5.47%,"1,080,539"
564,BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,14.29B,-,215.34,-0.54%,"107,087"
566,BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services,USA,1.44B,-,13.15,-2.05%,"19,194"
568,BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,Specialty Industrial Machinery,USA,123.78M,-,2.54,3.89%,"47,941"
570,BWX,SPDR Bloomberg Barclays International Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,29.95,-0.13%,"13,654"
572,BX,The Blackstone Group Inc.,Financial,Asset Management,USA,66.23B,50.16,55.48,0.93%,"499,785"
574,BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,USA,3.56B,26.86,23.18,-1.36%,"270,243"
576,BXRX,"Baudax Bio, Inc.",Healthcare,Biotechnology,USA,53.31M,-,2.78,-2.80%,"34,351"
578,BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,3.63B,-,32.61,0.31%,"181,330"
580,BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,Residential Construction,USA,439.47M,13.64,14.09,-1.12%,"100,222"
581,BZQ,ProShares UltraShort MSCI Brazil Capped,Financial,Exchange Traded Fund,USA,-,-,15.75,3.82%,"321,438"
583,C,Citigroup Inc.,Financial,Banks - Diversified,USA,95.07B,7.92,44.18,-3.71%,"20,856,807"
585,CAC,Camden National Corporation,Financial,Banks - Regional,USA,497.34M,9.21,31.85,-2.66%,"4,704"
587,CACI,CACI International Inc,Technology,Information Technology Services,USA,5.38B,17.18,216.47,-0.12%,"19,783"
589,CAE,CAE Inc.,Industrials,Aerospace & Defense,Canada,4.23B,40.92,16.05,0.06%,"95,970"
591,CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,USA,18.53B,18.68,37.92,-0.24%,"600,491"
593,CAI,"CAI International, Inc.",Industrials,Rental & Leasing Services,USA,502.46M,17.29,28.01,-0.88%,"4,678"
595,CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,Restaurants,USA,1.35B,-,29.39,-2.71%,"313,733"
597,CALA,"Calithera Biosciences, Inc.",Healthcare,Biotechnology,USA,268.80M,-,3.91,3.71%,"227,960"
599,CALX,"Calix, Inc.",Technology,Software - Application,USA,1.19B,-,19.53,-2.11%,"104,424"
582,BZUN,Baozun Inc.,Consumer Cyclical,Internet Retail,China,5.51B,57.68,35.78,0.70%,"356,290"
584,CAAS,"China Automotive Systems, Inc.",Consumer Cyclical,Auto Parts,China,90.13M,50.00,3.04,4.83%,"5,247"
586,CACC,Credit Acceptance Corporation,Financial,Credit Services,USA,6.14B,19.08,345.54,-0.01%,"28,713"
588,CADE,Cadence Bancorporation,Financial,Banks - Regional,USA,1.38B,-,10.47,-1.23%,"334,554"
590,CAF,"Morgan Stanley China A Share Fund, Inc.",Financial,Closed-End Fund - Foreign,USA,478.99M,-,21.90,0.05%,"6,576"
592,CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,14.32B,-,47.78,-1.13%,"295,863"
594,CAJ,Canon Inc.,Technology,Computer Hardware,Japan,21.57B,24.84,16.22,1.88%,"149,081"
596,CAL,"Caleres, Inc.",Consumer Cyclical,Footwear & Accessories,USA,377.16M,-,9.42,-4.37%,"83,419"
598,CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,USA,1.86B,41.52,37.77,-0.03%,"36,098"
600,CAMP,CalAmp Corp.,Technology,Communication Equipment,USA,269.90M,-,7.89,-1.31%,"58,725"
601,CAMT,Camtek Ltd.,Technology,Semiconductor Equipment & Materials,Israel,722.82M,44.81,19.46,0.99%,"68,021"
603,CAPL,CrossAmerica Partners LP,Energy,Oil & Gas Refining & Marketing,USA,586.76M,6.22,15.13,-1.11%,"3,441"
605,CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,USA,2.10B,-,29.67,-3.01%,"582,308"
607,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,USA,2.39B,56.02,21.25,-0.68%,"888,809"
609,CARS,Cars.com Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA,583.63M,-,8.26,-2.13%,"111,652"
611,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,USA,784.06M,7.22,21.84,-1.53%,"40,149"
613,CASY,"Casey's General Stores, Inc.",Consumer Defensive,Grocery Stores,USA,6.81B,23.06,184.50,-0.25%,"14,083"
615,CATB,"Catabasis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,123.59M,-,6.14,-1.29%,"59,026"
617,CATO,The Cato Corporation,Consumer Cyclical,Apparel Retail,USA,167.47M,-,7.22,-4.05%,"34,145"
619,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,56.11B,25.85,120.17,-2.66%,"242,341"
602,CANE,Teucrium Sugar,Financial,Exchange Traded Fund,USA,-,-,6.18,-0.06%,"3,916"
604,CAPR,"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,USA,96.09M,-,4.85,-1.22%,"155,914"
606,CARA,"Cara Therapeutics, Inc.",Healthcare,Biotechnology,USA,662.06M,-,13.73,-1.93%,"118,475"
608,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,28.34B,18.57,32.58,-1.29%,"780,600"
610,CASA,"Casa Systems, Inc.",Technology,Communication Equipment,USA,348.89M,-,4.28,-1.83%,"24,051"
612,CASS,"Cass Information Systems, Inc.",Industrials,Specialty Business Services,USA,642.27M,23.68,43.52,-2.29%,468
614,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,86.79B,21.90,161.98,-0.39%,"937,504"
616,CATM,Cardtronics plc,Industrials,Business Equipment & Supplies,USA,950.63M,25.22,21.30,0.42%,"55,447"
618,CATY,Cathay General Bancorp,Financial,Banks - Regional,USA,1.92B,7.94,23.33,-2.79%,"25,113"
620,CBAY,"CymaBay Therapeutics, Inc.",Healthcare,Biotechnology,USA,535.97M,-,7.82,-0.89%,"159,060"
621,CBB,Cincinnati Bell Inc.,Communication Services,Telecom Services,USA,763.70M,-,15.08,-0.07%,"33,548"
623,CBIO,"Catalyst Biosciences, Inc.",Healthcare,Biotechnology,USA,101.48M,-,4.65,0.20%,"38,233"
625,CBMG,"Cellular Biomedicine Group, Inc.",Healthcare,Biotechnology,USA,355.91M,-,18.41,-0.27%,"9,886"
627,CBPO,"China Biologic Products Holdings, Inc.",Healthcare,Biotechnology,China,4.34B,29.78,112.96,0.20%,"6,709"
629,CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,Restaurants,USA,2.78B,-,117.60,-0.14%,"83,485"
631,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,2.32B,39.90,40.56,-1.12%,"20,571"
633,CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services,USA,1.33B,18.36,24.44,-1.35%,"12,581"
635,CCC,Clarivate Plc,Technology,Information Technology Services,United Kingdom,19.36B,-,32.48,-0.61%,"57,284"
637,CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,69.93B,97.30,166.46,-1.05%,"219,518"
639,CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,USA,11.08B,22.74,81.68,-0.02%,"97,897"
622,CBD,Companhia Brasileira de Distribuicao,Consumer Cyclical,Department Stores,Brazil,3.35B,45.87,11.79,-5.15%,"165,256"
624,CBL,"CBL & Associates Properties, Inc.",Real Estate,REIT - Retail,USA,32.69M,-,0.17,-0.54%,"1,218,777"
626,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,9.19B,18.55,83.77,-0.84%,"164,484"
628,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,17.24B,14.91,49.99,-0.64%,"162,508"
630,CBSH,"Commerce Bancshares, Inc.",Financial,Banks - Regional,USA,6.84B,23.03,59.24,-2.47%,"48,776"
632,CBU,"Community Bank System, Inc.",Financial,Banks - Regional,USA,3.17B,19.76,57.34,-2.86%,"21,126"
634,CC,The Chemours Company,Basic Materials,Specialty Chemicals,USA,3.93B,-,23.37,0.30%,"106,714"
636,CCEP,Coca-Cola European Partners plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,18.33B,22.29,39.72,-1.14%,"80,348"
638,CCJ,Cameco Corporation,Energy,Uranium,Canada,3.80B,118.89,9.52,-1.14%,"239,108"
640,CCL,Carnival Corporation & Plc,Consumer Cyclical,Travel Services,USA,12.62B,-,14.27,-6.15%,"19,071,963"
641,CCLP,CSI Compressco LP,Energy,Oil & Gas Equipment & Services,USA,41.39M,-,0.85,-2.07%,"28,989"
643,CCNE,CNB Financial Corporation,Financial,Banks - Regional,USA,287.81M,6.82,16.35,-3.37%,"5,580"
645,CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services,USA,3.05B,77.44,63.52,-2.35%,"38,214"
647,CCS,"Century Communities, Inc.",Consumer Cyclical,Residential Construction,USA,1.50B,10.40,45.24,-1.82%,"44,487"
649,CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA,12.86B,176.58,90.11,1.46%,"107,888"
651,CDEV,"Centennial Resource Development, Inc.",Energy,Oil & Gas E&P,USA,189.26M,-,0.66,0.18%,"913,084"
653,CDLX,"Cardlytics, Inc.",Communication Services,Internet Content & Information,USA,2.18B,-,82.61,-0.31%,"38,041"
655,CDNA,"CareDx, Inc",Healthcare,Diagnostics & Research,USA,2.41B,-,51.81,-1.37%,"111,809"
657,CDR,"Cedar Realty Trust, Inc.",Real Estate,REIT - Retail,USA,81.53M,-,0.89,-1.50%,"99,588"
659,CDW,CDW Corporation,Technology,Information Technology Services,USA,18.58B,25.47,130.66,0.50%,"164,734"
642,CCMP,"CMC Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,4.59B,55.25,156.03,-2.00%,"21,668"
644,CCO,"Clear Channel Outdoor Holdings, Inc.",Communication Services,Advertising Agencies,USA,523.25M,-,1.10,-0.90%,"263,385"
646,CCRN,"Cross Country Healthcare, Inc.",Industrials,Staffing & Employment Services,USA,261.13M,-,7.15,-3.51%,"42,161"
648,CCXI,"ChemoCentryx, Inc.",Healthcare,Biotechnology,USA,4.06B,-,58.55,-0.93%,"50,029"
650,CDE,"Coeur Mining, Inc.",Basic Materials,Gold,USA,1.87B,-,7.96,-3.16%,"910,446"
652,CDK,"CDK Global, Inc.",Technology,Software - Application,USA,5.23B,18.00,43.71,0.28%,"60,547"
654,CDMO,"Avid Bioservices, Inc.",Healthcare,Biotechnology,USA,432.08M,-,7.69,-0.90%,"25,900"
656,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,31.47B,31.82,116.72,1.00%,"313,546"
658,CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,USA,128.13M,-,3.02,0.67%,"53,215"
660,CDXC,ChromaDex Corporation,Healthcare,Biotechnology,USA,287.97M,-,5.05,2.64%,"155,185"
661,CDXS,"Codexis, Inc.",Healthcare,Biotechnology,USA,826.65M,-,14.44,1.26%,"32,187"
663,CE,Celanese Corporation,Basic Materials,Chemicals,USA,13.89B,21.99,116.13,-0.99%,"77,377"
665,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,114.06M,44.49,4.21,-3.44%,"121,351"
667,CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,1.43B,765.36,22.40,4.53%,"918,598"
669,CEMI,"Chembio Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,98.60M,-,4.90,-0.81%,"553,357"
671,CENTA,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA,1.65B,20.02,39.09,-1.29%,"15,895"
673,CEO,CNOOC Limited,Energy,Oil & Gas E&P,Hong Kong,44.08B,7.21,98.09,0.12%,"15,617"
675,CERC,Cerecor Inc.,Healthcare,Biotechnology,USA,185.75M,-,2.49,0.41%,"26,642"
677,CERS,Cerus Corporation,Healthcare,Biotechnology,USA,1.07B,-,6.59,-1.27%,"473,734"
679,CEVA,"CEVA, Inc.",Technology,Semiconductors,USA,930.66M,715.71,44.75,-0.75%,"10,366"
662,CDZI,Cadiz Inc.,Utilities,Utilities - Regulated Water,USA,355.27M,-,10.18,-0.68%,"28,098"
664,CECE,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,USA,288.58M,16.92,7.96,-1.97%,"6,891"
666,CEL,Cellcom Israel Ltd.,Communication Services,Telecom Services,Israel,564.22M,-,3.92,1.49%,315
668,CEMB,iShares J.P. Morgan EM Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,51.81,-0.14%,"4,694"
670,CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA,2.17B,21.81,43.20,-1.46%,"6,142"
672,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,663.01M,-,7.73,-0.64%,"197,860"
674,CEQP,Crestwood Equity Partners LP,Energy,Oil & Gas Midstream,USA,1.05B,-,14.42,-0.55%,"108,304"
676,CERN,Cerner Corporation,Healthcare,Health Information Services,USA,22.36B,44.51,73.40,-0.53%,"311,275"
678,CETV,Central European Media Enterprises Ltd.,Communication Services,Broadcasting,Bermuda,1.16B,16.68,4.57,0.00%,0
680,CEW,WisdomTree Emerging Currency Strategy Fund,Financial,Exchange Traded Fund,USA,-,-,17.44,-0.20%,612
681,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,6.42B,16.92,29.82,1.02%,"587,568"
683,CFFN,"Capitol Federal Financial, Inc.",Financial,Banks - Regional,USA,1.62B,23.10,11.19,-2.48%,"224,651"
685,CFR,"Cullen/Frost Bankers, Inc.",Financial,Banks - Regional,USA,4.42B,12.62,68.40,-2.34%,"29,939"
687,CFX,Colfax Corporation,Industrials,Specialty Industrial Machinery,USA,3.80B,114.13,31.58,-1.53%,"80,247"
689,CGBD,"TCG BDC, Inc.",Financial,Asset Management,USA,495.38M,-,8.75,0.11%,"28,794"
691,CGEN,Compugen Ltd.,Healthcare,Biotechnology,Israel,1.39B,-,17.66,1.20%,"120,280"
693,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,-,20.01,0.10%,"10,487"
695,CHCO,City Holding Company,Financial,Banks - Regional,USA,986.54M,10.84,60.05,-1.88%,"7,612"
697,CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,USA,7.05B,-,172.80,-0.43%,"26,342"
699,CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution,USA,591.57M,-,15.78,0.19%,"138,824"
682,CFA,VictoryShares US 500 Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,-,57.21,-0.24%,"4,405"
684,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,12.41B,11.39,27.75,-2.53%,"754,053"
686,CFRX,ContraFect Corporation,Healthcare,Biotechnology,USA,155.40M,-,5.54,-1.07%,"25,326"
688,CG,The Carlyle Group Inc.,Financial,Asset Management,USA,9.34B,-,26.91,0.07%,"99,838"
690,CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,7.28B,-,18.33,-6.53%,"3,390,012"
692,CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,USA,11.94B,86.78,70.25,0.44%,"138,050"
694,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,33.78,0.01%,"41,252"
696,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,22.66B,32.52,94.53,1.35%,"406,149"
698,CHE,Chemed Corporation,Healthcare,Medical Care Facilities,USA,7.72B,30.43,488.16,0.76%,"8,931"
700,CHGG,"Chegg, Inc.",Consumer Defensive,Education & Training Services,USA,10.12B,16570.00,84.64,2.16%,"549,678"
701,CHH,"Choice Hotels International, Inc.",Consumer Cyclical,Lodging,USA,5.14B,30.22,91.00,-1.58%,"40,069"
703,CHIQ,Global X MSCI China Consumer Disc ETF,Financial,Exchange Traded Fund,USA,-,-,29.23,-0.65%,"138,219"
705,CHKP,Check Point Software Technologies Ltd.,Technology,Software - Application,Israel,17.51B,22.27,128.11,1.05%,"124,366"
707,CHMA,"Chiasma, Inc.",Healthcare,Biotechnology,USA,234.72M,-,4.02,2.81%,"207,364"
709,CHRS,"Coherus BioSciences, Inc.",Healthcare,Biotechnology,USA,1.32B,8.13,18.39,-0.49%,"92,711"
711,CHS,"Chico's FAS, Inc.",Consumer Cyclical,Apparel Retail,USA,123.63M,-,1.15,-0.43%,"436,338"
713,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,132.16B,62.12,650.26,-0.22%,"250,215"
715,CHUY,"Chuy's Holdings, Inc.",Consumer Cyclical,Restaurants,USA,422.14M,-,22.51,0.09%,"18,872"
717,CHX,ChampionX Corporation,Energy,Oil & Gas Equipment & Services,USA,1.70B,-,8.40,-1.70%,"256,937"
719,CIA,"Citizens, Inc.",Financial,Insurance - Life,USA,318.80M,124.37,5.86,-1.93%,"2,511"
702,CHIC,Global X Funds - Global X MSCI China Communication Services ETF,Financial,Exchange Traded Fund,USA,-,-,27.36,1.00%,863
704,CHIX,Global X MSCI China Financials ETF,Financial,Exchange Traded Fund,USA,-,-,14.34,-0.50%,"1,192"
706,CHL,China Mobile Limited,Communication Services,Telecom Services,Hong Kong,135.28B,8.61,32.71,-0.70%,"188,685"
708,CHNG,Change Healthcare Inc.,Healthcare,Health Information Services,USA,4.59B,-,14.90,-1.36%,"234,833"
710,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,14.25B,30.59,105.36,0.32%,"217,492"
712,CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services,Taiwan,29.13B,25.18,37.01,-0.13%,"20,407"
714,CHU,China Unicom (Hong Kong) Limited,Communication Services,Telecom Services,Hong Kong,21.52B,12.06,6.96,-0.29%,"63,530"
716,CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail,USA,25.28B,-,65.84,2.16%,"1,176,142"
718,CI,Cigna Corporation,Healthcare,Healthcare Plans,USA,65.71B,12.63,176.24,-0.69%,"213,690"
720,CIB,Bancolombia S.A.,Financial,Banks - Regional,Colombia,6.22B,14.79,25.34,-1.78%,"151,605"
721,CIBR,First Trust NASDAQ Cybersecurity ETF,Financial,Exchange Traded Fund,USA,-,-,37.54,0.54%,"117,680"
723,CIG,Companhia Energetica de Minas Gerais,Utilities,Utilities - Diversified,Brazil,2.96B,17.30,1.96,-1.76%,"745,680"
725,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,13.22B,24.18,79.89,-1.64%,"105,343"
727,CIR,"CIRCOR International, Inc.",Industrials,Specialty Industrial Machinery,USA,593.62M,-,29.38,-1.62%,"3,927"
729,CIVB,"Civista Bancshares, Inc.",Financial,Banks - Regional,USA,228.55M,7.93,13.89,-3.04%,"4,622"
731,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,68.24B,26.93,80.49,-0.17%,"549,179"
733,CLB,Core Laboratories N.V.,Energy,Oil & Gas Equipment & Services,Netherlands,722.66M,-,15.53,-1.83%,"85,939"
735,CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,34.02M,-,1.71,-2.95%,"96,127"
737,CLDR,"Cloudera, Inc.",Technology,Software - Application,USA,3.61B,-,11.98,0.88%,"5,575,078"
739,CLDX,"Celldex Therapeutics, Inc.",Healthcare,Biotechnology,USA,656.18M,-,16.96,0.40%,"56,661"
722,CIEN,Ciena Corporation,Technology,Communication Equipment,USA,6.49B,17.70,42.09,-1.50%,"424,169"
724,CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,USA,2.07B,-,8.61,-1.37%,"357,513"
726,CIO,"City Office REIT, Inc.",Real Estate,REIT - Office,Canada,333.75M,-,7.30,-2.67%,"41,029"
728,CIT,CIT Group Inc.,Financial,Banks - Regional,USA,2.02B,-,19.41,-4.29%,"264,732"
730,CKH,Seacor Holdings Inc.,Energy,Oil & Gas Equipment & Services,USA,637.46M,803.25,31.65,-1.49%,"2,962"
732,CLAR,Clarus Corporation,Consumer Cyclical,Leisure,USA,466.60M,36.09,15.12,0.00%,"16,447"
734,CLBK,"Columbia Financial, Inc.",Financial,Banks - Regional,USA,1.43B,27.73,12.30,-1.20%,"22,941"
736,CLCT,"Collectors Universe, Inc.",Industrials,Specialty Business Services,USA,558.45M,52.14,62.15,0.16%,"24,189"
738,CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel,USA,362.65M,-,7.25,-4.98%,"112,179"
740,CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,USA,3.06B,98.55,7.41,-1.12%,"2,225,301"
741,CLFD,"Clearfield, Inc.",Technology,Communication Equipment,USA,322.66M,51.76,23.12,-1.60%,"6,655"
743,CLH,"Clean Harbors, Inc.",Industrials,Waste Management,USA,3.35B,33.29,59.10,-1.58%,"49,751"
745,CLIR,ClearSign Technologies Corporation,Industrials,Pollution & Treatment Controls,USA,69.35M,-,2.72,2.64%,"198,978"
747,CLMT,"Calumet Specialty Products Partners, L.P.",Energy,Oil & Gas E&P,USA,262.08M,-,3.34,-0.97%,"33,730"
749,CLNY,"Colony Capital, Inc.",Real Estate,REIT - Diversified,USA,1.53B,-,3.10,-2.21%,"793,923"
751,CLR,"Continental Resources, Inc.",Energy,Oil & Gas E&P,USA,5.06B,-,13.30,-0.71%,"877,687"
753,CLSD,"Clearside Biomedical, Inc.",Healthcare,Biotechnology,USA,70.91M,-,1.49,-0.74%,"22,322"
755,CLSN,Celsion Corporation,Healthcare,Biotechnology,USA,23.61M,-,0.68,-2.47%,"169,316"
757,CLW,Clearwater Paper Corporation,Basic Materials,Paper & Paper Products,USA,689.00M,28.53,40.96,-0.36%,"11,143"
759,CM,Canadian Imperial Bank of Commerce,Financial,Banks - Diversified,Canada,34.82B,11.95,76.61,-1.66%,"82,174"
